course_id;course_name;module_code;module_name;course_subcategory;course_type;credits;required;availability;recommended_semester;prerequisites;frequency;language;description;url
;Generative Deep Learning;ML;Machine Learning;Fundamentals 2;VU;5;0;S;0;;yearly;;;
;Fundamentals of Discrete-Time Signals and Systems;ML;Machine Learning;Signal Processing;VO;4;0;S;0;;yearly;;;
;Fundamentals of Discrete-Time Signals and Systems;ML;Machine Learning;Signal Processing;UE;2;0;S;0;;yearly;;;
;Nonlinear Signal Processing;ML;Machine Learning;Signal Processing;VO;3;0;S;0;;yearly;;;
;Nonlinear Signal Processing;ML;Machine Learning;Signal Processing;UE;1.5;0;S;0;;yearly;;;
;;;;;;;;;;;;;;
;State Estimation and Filtering;ROB;Robotics;Foundations;VO;3;0;W;0;;yearly;;;
;State Estimation and Filtering;ROB;Robotics;Foundations;UE;1.5;0;W;0;;yearly;;;
;Kinematics and Robotics;ROB;Robotics;Foundations;VO;3;0;W;0;;yearly;;;
;Kinematics and Robotics;ROB;Robotics;Foundations;KU;;0;W;0;;yearly;;;
;Multi-Modal Robot Perception;ROB;Robotics;Perception;VU;3;0;W;0;;yearly;;;
;Conversational Systems;ROB;Robotics;Interaction;VU;3;0;W;0;;yearly;;;
;Integrierte Navigation;ROB;Robotics;Acting and Navigation;VU;3;0;S;0;;yearly;;;
;Industrieroboter;ROB;Robotics;Acting and Navigation;VO;3;0;W;0;;yearly;;;
;Laborübung Industrieroboter;ROB;Robotics;Acting and Navigation;LU;3;0;W;0;;yearly;;;
;Design Thinking and Rapid Prototyping;ROB;Robotics;Software Engineering;LU;3;0;W;0;;yearly;;;
;Embedded Systems;ROB;Robotics;Software Engineering;VO;2;0;S;0;;yearly;;;
;Embedded Systems, Laboratory;ROB;Robotics;Software Engineering;LU;1.5;0;S;0;;yearly;;;
;;;;;;;;;;;;;;
;Compiler Construction;ST;Software Technology;Programming Languages;VO;3;2;S;2;;yearly;;;
;Compiler Construction;ST;Software Technology;Programming Languages;KU;2;2;S;2;;yearly;;;
;Software Technology;ST;Software Technology;Software Engineering Principles;VU;5;2;S;2;;yearly;;;
;Design Patterns;ST;Software Technology;Software Design and Architecture;VO;3;1;W;1;;yearly;;;
;Design Patterns;ST;Software Technology;Software Design and Architecture;UE;2;1;W;1;;yearly;;;
;Agile Software Development;ST;Software Technology;Software Engineering Principles;VU;4;0;S;0;;yearly;;;
;Industrial Software Development and Quality Management;ST;Software Technology;Software Engineering Principles;VO;3;0;S;0;;yearly;;;
;Industrial Software Development and Quality Management;ST;Software Technology;Software Engineering Principles;UE;1.5;0;S;0;;yearly;;;
;Software Technology Tools;ST;Software Technology;Software Engineering Principles;SE;3;0;S;0;;yearly;;;
;Declarative Programming;ST;Software Technology;Programming Languages;VU;3;0;S;0;;yearly;;;
;Software Paradigms;ST;Software Technology;Programming Languages;VU;4.5;0;S;0;;yearly;;;
;Software Maintenance;ST;Software Technology;Programming Languages;VU;4.5;0;S;0;;yearly;;;
;Systems Engineering and Project Management;ST;Software Technology;Specification and Modelling;VO;1.5;0;W;0;;yearly;;;
;Quality Assurance in Software Development;ST;Software Technology;Validation & Verification;VU;2.5;0;W;0;;yearly;;;
;Software Testing for Safety-Critical Systems;ST;Software Technology;Validation & Verification;VO;3;0;W;0;;yearly;;;
;Software Testing for Safety-Critical Systems;ST;Software Technology;Validation & Verification;KU;2;0;W;0;;yearly;;;
;;;;;;;;;;;;;;
;Image Processing and Pattern Recognition;VC;Visual Computing;Computer Vision;VO;3;2;W;1;;yearly;;;
;Image Processing and Pattern Recognition;VC;Visual Computing;Computer Vision;KU;2;2;W;1;;yearly;;;
;GPU Programming;VC;Visual Computing;Computer Graphics;VU;5;0;S;0;;yearly;;;
;Fundamentals of Geometry Processing;VC;Visual Computing;Computer Graphics;VU;4.5;0;S;0;;yearly;;;
;Image and Video Understanding;VC;Visual Computing;Computer Vision;VO;3;0;W;0;;yearly;;;
;Image and Video Understanding;VC;Visual Computing;Computer Vision;KU;2;0;W;0;;yearly;;;
;Medical Image Analysis;VC;Visual Computing;Computer Vision;VO;3;0;W;0;;yearly;;;
;Computer-Aided Geometric Design;VC;Visual Computing;Visualisation and Virtual Reality;VU;5;0;W;0;;yearly;;;
